Index,Tweet,Tanggal,Jumlah Retweet,Username,User ID,Name,Location,User Desc
0,"@KemenkesRI Banyak pelajaran yang didapat dari COVID-19 ini mulai dari kesehatan pergaulan sampai di ibadah.
Tingga… https://t.co/8YaXVukZZf",2021-04-05 09:16:28,0,WarnoOpa,1248197094260629504,Opa Warno,,"Hidup ini simpel bae.
tidak usah beli neko.
nikmati apa adanya akan membuat HIDUPMU Bahagia"
1,"#RilisSehat

Kaki Bengkak Salah Satu ASN Kotamobagu Bukan Akibat Vaksinasi COVID-19 @KemenkesRI 

https://t.co/pddsklC5lE",2021-04-05 08:53:35,2,KemenkesRI,161236190,Kemenkes RI,"Jakarta, Indonesia","Kementerian Kesehatan RI; Jl. HR. Rasuna Said Blok X5 Kav. 4-9, Jakarta Selatan 12950; Telp: (021) 52907416-9 Halo Kemenkes: (kode lokal) 1-500567"
2,"Biar angka penyebaran covid 19 bisa semakin menurun, makan @KemenkesRI
tetap akan menjalankan Vaksinasi saat bulan… https://t.co/S2XvoYiI0L",2021-04-05 08:53:32,0,aboutbadminton,1341585145220931585,About Badminton,,
3,"Kenapa pelaksanaan vaksinasi Covid-19 malah menjadi Ladang Rasisme⁉️

Yth. Bpk Presiden @jokowi
Bpk MENKES… https://t.co/wQDBQ9DyLH",2021-04-05 08:35:23,3,KrisyantoOni,1283848995962417152,Krisyanto Yen Oni,,"RAKYAT JELATA 🇮🇩
#CebongBermartabat"
4,@drpriono1 @BudiGSadikin @jokowi @WHOIndonesia @KemenkesRI Insentif covid des2020-maret2021 belum ditransfer ke rek… https://t.co/JrUehQ2Rtf,2021-04-05 08:25:20,0,AikHoki,1369573838007062535,aik #HOKI,,use ur helmet
5,"Maap bang, bukan apa2... 1 tahun ngurusin sinkronisasi data pasien covid, data keterisian tempat tidur rumah sakit… https://t.co/Z7pTBhPSEa",2021-04-05 08:09:42,0,monodikotil,313074427,Bijinomics,A:\,Biji 1/2
6,"Update perkembangan vaksinasi COVID-19 di Indonesia, per tanggal 5 April 2021 pukul 12.00 WIB.
via @KemenkesRI https://t.co/FAIVaVuiVQ",2021-04-05 07:38:42,1,RadioElshinta,121640063,Radio Elshinta,"ÜT: -6.187385,106.733011",Official Twitter of Radio Elshinta | Phone: 021-5869000 & SMS/WA: 0811-80-6543 | Email: redaksielshinta@gmail.com | Frequency 90.00 FM Jakarta
7,"Plt Dirjen Farmalkes, drg. Arianti Anaya, MKM, mengimbau kepada masyarakat untuk berhati-hati dalam memakai masker.… https://t.co/iUAXninibf",2021-04-05 07:16:25,4,mochamadarip,127932614,ʀᴇᴍɪɴɢᴛᴏɴ ꜱᴛᴇᴇʟᴇ,Bermuda,
8,@KemenkesRI telah melakukan beberapa kebijakan untuk memperluas cakupan imunisasi untuk lansia karena partisipasi k… https://t.co/usyvQCClfV,2021-04-05 07:12:36,4,mochamadarip,127932614,ʀᴇᴍɪɴɢᴛᴏɴ ꜱᴛᴇᴇʟᴇ,Bermuda,
9,Pemerintah Tetap Menggelar Vaksinasi COVID-19 di Bulan Ramadan https://t.co/CSAKzsNlra via @holopiscom @KemenkesRI… https://t.co/yvSSqnJy2T,2021-04-05 06:51:58,0,holopiscom,1366400664960573441,holopiscom,"Jakarta Capital Region, Indone",Bersama Untuk Indonesia
10,@BukanTanos @jokowi @KemenkesRI @KemenkeuRI @KemenBUMN @erickthohir Berita nya dibaca kan? Ada indikasi sblm divaks… https://t.co/gEClT1JFmY,2021-04-05 06:12:10,0,TriyonoJono,1371125071939395585,JonoTriyono,,"kerja, demi anak cucu,,,,"
11,@humasjateng @ganjarpranowo @TajYasinMZ @pdkjateng @kominfo_jtg @Kemdikbud_RI @dinkesjateng @KemenkesRI Semoga pela… https://t.co/nCX3sPcBvd,2021-04-05 05:29:07,0,ARuatomo,1083650077116125184,Andreas Budi Rustomo,,
12,@KemenkesRI katakan akan ada vaksinasi covid-19 selama Ramadhan dengan melihat kondisi umat Islam. https://t.co/BKSMPIB2CQ,2021-04-05 05:14:00,0,ArunikaSwastam1,1310934387106619398,ArunikaSwastamita,,"Pemuja Negeri Nirmala
~akun back up"
