Index,Tweet,Tanggal,Jumlah Retweet,Username,User ID,Name,Location,User Desc
0,"@KemensetnegRI semua warga negara memiliki perlakuan yang sama buka dimata hukum tidak memandangan jabatan,ras, gol… https://t.co/7WDF9zPZu5",2021-04-05 08:51:11,0,MIlyas1107,1208959836597043200,Hihihaha,"DKI Jakarta, Indonesia",Nothing
1,@aozame2000 @KemensetnegRI satgas covid -19 bertindak dong. jangan memandang jabatan dan golongan aja wkkwkwkwk cc… https://t.co/ttHYXWkN6M,2021-04-05 08:47:16,0,MIlyas1107,1208959836597043200,Hihihaha,"DKI Jakarta, Indonesia",Nothing
2,"Program vaksinasi Covid 19 tetap berjalan dibulan Ramadhan dan dalam kondisi puasa sekalipun.
@KemenkesRI… https://t.co/6QTEAOVgIR",2021-04-05 03:56:22,0,sueobrien1991,124436269,Indonesia Maju,"Pati, Indonesia",🍇🍇🍇
3,"Program vaksinasi Covid 19 tetap berjalan dibulan Ramadhan dan dalam kondisi puasa sekalipun.
@KemenkesRI… https://t.co/drZepBTVoY",2021-04-05 03:56:11,0,LaudyOe,1346293737190637569,Laudy_Oe,,minimalis make up club • 💯% pecinta masakan Indonesia • NKRI harga mati • Pŕogram Follbaçk 💯%
4,"Program vaksinasi Covid 19 tetap berjalan dibulan Ramadhan dan dalam kondisi puasa sekalipun.
@KemenkesRI… https://t.co/joPYFECzFj",2021-04-05 03:54:57,0,FaktaNKRI72,1346107064536371201,Fakta Indonesia,"Semarang Tengah, Indonesia","Optimis #IndonesiaMaju
• 💯% Indonesia"
5,"Program vaksinasi Covid 19 tetap berjalan dibulan Ramadhan dan dalam kondisi puasa sekalipun.
@KemenkesRI… https://t.co/7YuMLV7Jfe",2021-04-05 03:53:25,0,JeKaTe42,1301985819482234880,JKT42,"Semarang Tengah, Indonesia",Berselancar dihatimu
6,"Program vaksinasi Covid 19 tetap berjalan dibulan Ramadhan dan dalam kondisi puasa sekalipun.
@KemenkesRI… https://t.co/D2Tlp3b62T",2021-04-05 03:52:47,0,LinNasution,1089167212638687232,LinNasution,indonesia,cookie monster
7,@ndlahombike @satgascovid19id  Satgas covid ga ono komentar ya? 😄🙏,2021-04-05 00:34:03,0,miavita_2021,1202075086909558784,Miavitatroso,Jepara. Indonesia,"Tenun Troso Jepara, batik, Beautica masker organik, mutiara NTB, kopi Rembang, qur'an king Salman https://t.co/0RcOt2RzdN   https://t.co/t1PA7TJnk1"
8,@kurawa @tirta_hudhi Apa menghadiri pernikahan pahlawan pajak boleh menimbulkan mendatangi kerumunan di kala pandem… https://t.co/tbk5TlIQc0,2021-04-04 14:21:37,0,NamungAbdiGusti,90758945,Name cannot be blank.,unidentified.,"Semua yg dilakukan, hanya untuk mengurangi kadarnya, karena penyesalan itu sebuah keniscayaan. Ikhlaskan."
9,"@bintangku206 Kata @satgascovid19id ini bukan pelanggaran prokes....betul tidak???

Yg keluarganya ketularan covid… https://t.co/DcjBdh9gwe",2021-04-04 13:59:39,0,NamungAbdiGusti,90758945,Name cannot be blank.,unidentified.,"Semua yg dilakukan, hanya untuk mengurangi kadarnya, karena penyesalan itu sebuah keniscayaan. Ikhlaskan."
10,"Ini contoh video bagaimana tegasnya tim Covid-19 kepada rakyat kecil.

Bravo pak @mohmahfudmd @KSPgoid… https://t.co/R68E1HnAv1",2021-04-04 13:25:18,0,Rizki44874585,807560864173670401,Rizki44874585,,"Stand with Ulama
https://t.co/1W0YZY28lb"
11,"Provinsi lain mengalami penurunan kasus Covid 19, sementara di Banten justru penularan Covid 19 ‘mengganas’.… https://t.co/gyQhicHAeS",2021-04-04 10:39:11,0,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
12,Satuan Tugas (Satgas) Penanganan Covid-19 Provinsi Bengkulu memastikan kegiatan vaksinasi Covid-19 tetap berjalan s… https://t.co/HMF7I7uwqC,2021-04-04 07:20:11,0,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
13,"@drpriono1 @KemenkesRI Pernikahan artis yg dihadiri oleh kepala negara dan mentri kenapa tidak dikomentari dok??

A… https://t.co/d6EDXTL9jU",2021-04-04 04:22:04,0,AlhamidRejal,102295525,Hamid S.H.,Java island,"Jangan Bersedih, ALLOH bersama kita"
14,@Ar1Pangeran @satgascovid19id @KemenkesRI @Kemenag_RI VAKSIN Covid-19 dibuat Orang Kafir di beli Negara untuk Menye… https://t.co/XlxgBx1o6r,2021-04-02 11:27:54,0,sitolin8,816133802783166464,Yakobus Sitolin,,
15,"Ketua Satuan Tugas (Satgas) Penanganan COVID-19, Letjen TNI Dr. (H.C.) Doni Monardo mendorong Pemerintah Provinsi (… https://t.co/V0UCA5uyeX",2021-04-02 09:05:24,5,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
16,Apakah pandemi Covid-19 sudah berakhir? Apakah ada pengecualian dalam penerapan protokol kesehatan?… https://t.co/BPo5z1GwYn,2021-04-02 08:51:38,0,halawa_sr,1348284882452062208,Halawa SR,"Kota Tangerang, Banten",Ketua DPW PPN Provinsi Banten 2020-2024
17,Presiden Kazakhstan Kassym-Jomart Tokayev pada Kamis mengatakan ia kemungkinan akan memecat para anggota kabinet pe… https://t.co/aRieEz3F5G,2021-04-02 03:08:54,5,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
18,"Pemerintah Jepang pada Kamis mengatakan akan memberlakukan tanggap darurat, seperti pengurangan jam kerja dan memin… https://t.co/a5YH0uwTcu",2021-04-02 03:06:43,5,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
19,Badan Pusat Statistik (BPS) menyatakan makin banyak masyarakat yang berani berkegiatan keluar rumah pada periode Ma… https://t.co/sOOXO3u32L,2021-04-02 03:04:11,5,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
20,"Hal itu karena Bandarlampung belum juga dinyatakan masuk Zona Hijau. 
@satgascovid19id @nadiemmakarim 
https://t.co/5NVoBP8pWR",2021-04-01 15:44:48,0,rilislampung,959271693981171713,rilislampung,Bandarlampung,Referensi Berita Bermutu
21,Anda yang sudah mendapat vaksin Covid-19 mungkin akan lebih percaya diri untuk bepergian ke tempat yang aman dan me… https://t.co/dkNkhTbzlL,2021-04-01 14:11:10,5,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
22,"@satgascovid19id min, dimana bisa suntik vaksin covid di kelapa gading. Saya tenaga pendidik, sekolah tempat kerja tdk mau urusin gurunya.",2021-04-01 13:47:00,0,Iwritesee,58420673,right sea,,
23,Pertambahan kasus terkonfirmasi Covid 19 mengalami kenaikan dibanding kemarian. Hari ini bertambah 6.142 kasus sehi… https://t.co/hFSnpXTRP4,2021-04-01 12:51:27,5,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
24,Ketua Satuan Tugas Penanganan Covid-19 Letjen TNI Dr. (H.C.) Doni Monardo memuji hasil jerih payah Pemerintah Provi… https://t.co/Ejd3Vkonse,2021-04-01 12:14:13,5,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
25,Wakil Menteri Keuangan (Wamenkeu) Suahasil Nazara menyebutkan Indonesia memiliki pijakan yang bagus untuk mendorong… https://t.co/05DHG4oTym,2021-04-01 11:20:57,5,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
26,"Ketua Satuan Tugas Penanganan COVID-19, Letjend TNI Doni Monardo, meminta Pemerintah Provinsi Sulawesi Tengah (Sult… https://t.co/yzmE1h6XVL",2021-04-01 05:28:16,5,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
27,"Jaga diri,keluarga,masyarakat #TIDAKMUDIK CEGAH COVID
#MojokertoEksotik
#tppmojokerto
#tppjawatimur
@jokowi… https://t.co/VKluIiboJx",2021-04-01 02:01:34,4,MAKINUN17,885760286300315648,MAKINUN,"Jombang, Jatim,Indonesia","TA Pelayanan Sosial Dasar
Kab. Mojokerto_Jawa Timur"
28,"Waspada Penyebaran Covid-19 dari Repatriasi https://t.co/uetDYzObFV 
@satgascovid19id @BNPB_Indonesia #KimCipedes",2021-03-31 15:16:35,0,kimcipedes,839363622560157698,KIM CIPEDES,"Sukajadi, Indonesia","Sekretariat : Jl. Sukagalih No. 24 Kelurahan Cipedes Kecamatan Sukajadi Bandung HP : +62 821-1616-5552, 082117982424"
29,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/lcf9H7iSYk,2021-03-31 12:39:56,0,ForYouIndonesi4,1373298343456075780,For You Indonesia,,Pancasila I UUD 1945 I NKRI I Bhinneka Tunggal Ika
30,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/ZWIh2hMjZO,2021-03-31 12:38:54,1,DelapanKotak,1368847721180798976,Delapan Kotak,,hello kitty lover | shopping | sharing
31,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/cFf9FdDwCK,2021-03-31 12:37:17,0,JalanDarat67,1363754124337053697,Jalan Darat,,Bernas I Lembut I Laut I Jingga
32,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/z0kEKgtu9M,2021-03-31 12:36:55,0,KananLewat,1362273698850304000,LewatKanan,,naik gunung makan kue tart
33,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/zFy65lzAqT,2021-03-31 12:36:05,0,Nella_Adh,1122507895755509760,Cakrawala Bangsa | 🇮🇩,,Media Merdeka
34,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/QmPQ3G7I9r,2021-03-31 12:35:26,0,KerenKotaku,1360812958381527041,Kotaku Keren,,pencari sunrise
35,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/zLkyx4Kmzi,2021-03-31 12:34:56,0,kelilingnegeri1,1359358947652554752,kelilingnegeri,,pewarna merah jingga
36,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/ZOVA2qUkFa,2021-03-31 12:34:31,0,KilatPaket,1349720274288054277,PaketKilat,,i don't think so
37,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/i4vL9Vxojg,2021-03-31 12:33:47,1,NegeriTanah,1349588328740319235,TanahNegeri,,pecinta kopi pahit | content creator | pembelajar tangguh
38,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/d2DYaEsxCO,2021-03-31 12:32:50,0,SoreTujuh,1347473771628617731,SoreMenujuSiang,,love of wonderful Indonesia
39,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/OpU5Kk7yGL,2021-03-31 12:32:22,0,SiskaDena,1165097706290761733,Traveler Alone,,•Traveller | 🇮🇩💕 | 🔁 |
40,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/m21IWZ9wES,2021-03-31 12:31:53,0,PelapisB,1328977722077454336,PelapisPelangi,,nature lover | sayang tanaman | penyuka boba
41,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/osJ02mNbYg,2021-03-31 12:31:18,0,QueenDibaaa,1246988372209324032,Jalan Sunyi Negeriku,,I love Indonesia | long life learner | ⛔restricted DM #freeagent
42,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/BwcEVmBsYA,2021-03-31 12:29:59,0,HanaHanyfa,1249577238770544641,Double H,,petualang senja | pecinta hello kitty | tosca blue | ocean taste | no DM|
43,Apresiasi diberikan oleh @kemendagri pada Pemda yg lakukan vaksinasi Covid-19 sesuai dengan Standar Operasional Pro… https://t.co/STiKU0nc4R,2021-03-31 12:29:15,1,Fatma_Reyna,1004559748979724289,NKRI 2024,"Lisbon, Portugal","Content Writer | Traveller | 
die hard NKRI Pancasila"
44,"Ketua Satuan Tugas (Satgas) Penanganan COVID-19 Doni Monardo menyebut, aktivitas perjalanan orang di wilayah perbat… https://t.co/e5S59bceFT",2021-03-31 04:01:50,3,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
45,Juru Bicara Satgas Penanganan Covid-19 Prof Wiku Adisasmito meminta pemerintah daerah (pemda) mensosialisasikan pem… https://t.co/hhU8VDHY8h,2021-03-31 02:06:49,2,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
46,"@wikuadisasmito @BEMFKUI @BNPB_Indonesia 
@KemenkesRI 
@SIMAK_UI
BUBARKAN SATGAS COVID 19! UNFAEDAH MENYENGSARAKAN… https://t.co/dcVWRcTcua",2021-03-30 22:18:48,0,saveindonesia20,1289556969766846466,I❤INDONESIA,"Simpang Kanan, Johor","Mencintai Indonesia Sepenuh Hati
BUKAN CEBONG - BUKAN KAMPRET

NO DM !!"
47,@satgascovid19id kenapa website kalian selalu error dan bertele tele? Saya ingin melaporkan penyebaran covid secara… https://t.co/TwNpMicmcf,2021-03-30 15:50:17,0,EngelbertaVania,436446136,van,,~
48,"Tingkat kesembuhan pasien Covid-19 di Kabupaten Penajam Paser Utara (PPU), Kalimantan Timur, pada Selasa ini mencap… https://t.co/klYQYK7Mmo",2021-03-30 10:00:45,1,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
49,"Mana keramaian di Pekalongan dan di NTT dan seorang Artis yg melanggar Prokes Covid-19 kok ngga di proses"" ya? tany… https://t.co/DRgFzn9hUP",2021-03-30 05:10:34,0,rmacellak,1213395188812378112,macellak,,"civil engineer, addicted to golf and travelling"
50,"Kunci pengendalian Covid 19 ada pada konsistensi PPKM Mikro dan vaksinasi
@airlangga_hrt @PerekonomianRI… https://t.co/L582AKBBZB",2021-03-29 18:11:21,0,LinNasution,1089167212638687232,LinNasution,indonesia,cookie monster
51,"Menkes @BudiGSadikin :
Vaksinasi dan Pembatasan Mobilitas cara ampuh menekan penyebaran Covid 19
@KemenkesRI… https://t.co/APv8ikhplh",2021-03-29 17:01:47,0,JeKaTe42,1301985819482234880,JKT42,"Semarang Tengah, Indonesia",Berselancar dihatimu
52,Bukankah itu kerumunan juga dan  angka penularan Covid-19 masih sangat tinggi? Cc @Kemenkumham_RI @KejaksaanRI… https://t.co/sFSs0u9VuA,2021-03-29 14:07:32,0,imbangimedia,579968793,#JusticeForIBHRSandKM50,Bumi Allah SWT,#IndonesiaTanpaJIL
53,"Jumlah Kasus Terkonfirmasi Covid 19 Tembus 1,5 Juta. @satgascovid19id

https://t.co/padx0vBzpk",2021-03-29 14:03:00,1,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
54,"KPCDI Desak Pemerintah Prioritaskan Pasien Gagal Ginjal Dapatkan Vaksinasi Covid-19

https://t.co/6nVHtcd5iv

cc… https://t.co/Z7r0ihEVZv",2021-03-29 13:37:19,1,kpcdi,709671250969255937,KomunitasPasienCuciDarahIDN,Jakarta Capital Region,"Perkumpulan berbasis gerakan sosial pasien​ gagal ginjal, yang mengedukasi dan  mengkampanyekan kesehatan serta memperjuangkan hak pasien || 📞 08111.501.503"
55,"@alin_raihani @BibikZegkhol @MUIPusat Klo nanya teknik penyidikan ke ahlinya aja om @DivHumas_Polri 
Bansos sudah d… https://t.co/kpxoUmPON2",2021-03-29 13:23:22,0,hanyahiburan6r0,2354481944,רוח רפאים ים,,"ORANG BODO YANG SOK TAU
🇮🇩 NKRI harga mati 🇮🇩"
56,"Dua lokasi kafe di Bandarlampung disegel dan ditutup Tim Satgas Penanganan Covid-19 Bandarlampung, karena kedapatan… https://t.co/60adhnn4kL",2021-03-29 08:47:05,0,rilislampung,959271693981171713,rilislampung,Bandarlampung,Referensi Berita Bermutu
57,Akhirnya sertifikat vaksin Covid-19 sudah lengkap semua 🥳 @PLindungi @satgascovid19id @KemenkesRI https://t.co/18FXD8tU93,2021-03-29 04:36:03,0,CDR1403,263070686,しんtひゃ デビ りあんち,"Tangerang, Indonesia ","Life is a journey .. Which path you choose depends on yourself, there will be no regret that there is only life learning from the path you."
58,"Berlaku Mulai 1 April, Inilah Edaran Terbaru Satgas COVID-19 tentang Perjalanan Dalam Negeri… https://t.co/Ym7XcPCOBo",2021-03-29 03:17:40,0,kimcipedes,839363622560157698,KIM CIPEDES,"Sukajadi, Indonesia","Sekretariat : Jl. Sukagalih No. 24 Kelurahan Cipedes Kecamatan Sukajadi Bandung HP : +62 821-1616-5552, 082117982424"
59,"Pemeriksaan Effendi Gazali terkait “Perusahaan Titipan” Pengadaan Bansos Covid. @KemenkesRI @satgascovid19id

https://t.co/pffZr2NNsA",2021-03-28 13:30:00,0,Acuantodaycom,1288405693897170945,Acuantodaycom,"DKI Jakarta, Indonesia","Acuantoday Media millenial, Diskusi lebih berisi

Ikuti juga Youtube, FB dan IG Acuan di : Acuantodaycom"
60,"Halo sobat patuh! 👋
Jangan lupa untuk selalu terapkan protokol kesehatan ya 😊
Berikut ada info kiat-kiat pengasuhan… https://t.co/I3P1IGWs5g",2021-03-28 12:34:46,0,Kamb1ng_MJK,1353142379365036032,Seekor Kamb1ng,"Jawa Timur, Indonesia",Aku lupa dengan apa yang baru saja ku lupakan -_-
